id,order_id,product_id,quantity,total,updated_at_x,created_at_x,name,price,status,date,time,weekday,hour
57,30,2,3,45,2025-04-24 11:55:55,2025-04-24 11:55:55,samosa,15,1,2025-04-24,11:55:55,Thursday,11
58,30,3,3,30,2025-04-24 11:55:55,2025-04-24 11:55:55,chaii,10,1,2025-04-24,11:55:55,Thursday,11
59,30,4,3,30,2025-04-24 11:55:55,2025-04-24 11:55:55,moms magik biscute,10,1,2025-04-24,11:55:55,Thursday,11
60,31,2,1,15,2025-04-24 12:20:41,2025-04-24 12:20:41,samosa,15,1,2025-04-24,12:20:41,Thursday,12
61,31,3,1,10,2025-04-24 12:20:41,2025-04-24 12:20:41,chaii,10,1,2025-04-24,12:20:41,Thursday,12
62,31,4,3,30,2025-04-24 12:20:41,2025-04-24 12:20:41,moms magik biscute,10,1,2025-04-24,12:20:41,Thursday,12
63,32,2,1,15,2025-04-24 12:20:41,2025-04-24 12:20:41,samosa,15,1,2025-04-24,12:20:41,Thursday,12
64,32,3,1,10,2025-04-24 12:20:41,2025-04-24 12:20:41,chaii,10,1,2025-04-24,12:20:41,Thursday,12
65,32,4,3,30,2025-04-24 12:20:41,2025-04-24 12:20:41,moms magik biscute,10,1,2025-04-24,12:20:41,Thursday,12
66,33,2,3,45,2025-04-24 12:23:02,2025-04-24 12:23:02,samosa,15,1,2025-04-24,12:23:02,Thursday,12
67,33,3,3,30,2025-04-24 12:23:02,2025-04-24 12:23:02,chaii,10,1,2025-04-24,12:23:02,Thursday,12
68,34,2,1,15,2025-04-24 16:51:17,2025-04-24 16:51:17,samosa,15,1,2025-04-24,16:51:17,Thursday,16
69,34,3,2,20,2025-04-24 16:51:17,2025-04-24 16:51:17,chaii,10,1,2025-04-24,16:51:17,Thursday,16
70,34,6,1,35,2025-04-24 16:51:17,2025-04-24 16:51:17,Lassi,35,1,2025-04-24,16:51:17,Thursday,16
71,35,2,1,15,2025-04-24 16:51:18,2025-04-24 16:51:18,samosa,15,1,2025-04-24,16:51:18,Thursday,16
72,35,3,2,20,2025-04-24 16:51:18,2025-04-24 16:51:18,chaii,10,1,2025-04-24,16:51:18,Thursday,16
73,35,6,1,35,2025-04-24 16:51:18,2025-04-24 16:51:18,Lassi,35,1,2025-04-24,16:51:18,Thursday,16
74,36,3,1,10,2025-04-24 16:52:12,2025-04-24 16:52:12,chaii,10,1,2025-04-24,16:52:12,Thursday,16
75,37,3,1,10,2025-04-24 16:52:12,2025-04-24 16:52:12,chaii,10,1,2025-04-24,16:52:12,Thursday,16
